id,date,city,state,type,ideology,subideology,group,description,image
6972,12/2018,Tampa,FL,Harassment,,,,Anti-Semitic comments made in a Snapchat group.,
6973,12/2018,Newton,MA,Harassment,,,,"Man in police custody yells that he will ""kill all the liberals and the Jews.""",
6974,12/2018,Stuart,FL,Harassment,,,,Jewish middle school student verbally harassed by classmate who made remarks praising Hitler for killing Jews and threatened to kill Jews himself.,
6975,12/2018,Poughkeepsie,NY,Harassment,,,,"Jewish family discovered that a picture of them was hung on their car outside their home with the message ""ugly, fat, cheap Jew boy.""",
6976,12/2018,Westwego,LA,Harassment,,,,Jewish student victim of anti-Semitic bullying.,
6977,12/2018,Brooklyn,NY,Harassment,,,,"Two Jewish students were approached by man on the street who waved his hands and said: ""This is what Hitler did, it's going to happen again.""",
6978,12/2018,Houston,TX,Harassment,,,,Jewish organization received a threatening anti-Semitic message on Facebook.,
6979,12/2018,Brooklyn,NY,Harassment,,,,Anti-Semitic sermon broadcast in a salon.,
6980,12/2018,Chattanooga,TN,Harassment,,,,A white supremacist blog targeted a Jewish woman.,
6981,12/2018,Palm Beach Gardens,FL,Harassment,,,,A Jewish couple found that a gingerbread house decorated with swastikas and swear words was left on their driveway.,
6982,12/2018,Chandler,AZ,Harassment,,,,A paper was folded into the shape of a swastika and as placed next to a Hanukiah at Target.,
6983,12/2018,Tuckerton,NJ,Harassment,,,,Jewish couple subjected to anti-Semitic harassment by their neighbor.,
6984,12/2018,Mendota Heights,MN,Harassment,,,,"Woman received anti-Semitic literature in the mail that included caricatures of Jews, Holocaust denial, and other anti-Jewish content.",
6985,12/2018,Philadelphia,PA,Harassment,,,,"An Uber driver with Jewish customers told an anti-Semitic joke. The joke was: ""How do you fit 6 million Jews in an Uber? In the ashtray.""",
6986,12/2018,San Diego,CA,Harassment,,,,"Anti-Semitic and anti-immigrant flyer that seemingly blame the California Democratic Party for ""killing off the entire white race"" were left on cars.",
